Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,SCOOP Rating
Metals Acquisition Corp,MTAL.U,Blank Check,7/29/21,25,$10.00 ,$0.00 ,$0.00 ,0.00%,S/O
"Nuvalent, Inc.",NUVL,Health Care,7/29/21,9.8,$17.00 ,$0.00 ,$0.00 ,0.00%,S/O
Rallybio Corp.,RLYB,Health Care,7/29/21,6.2,$13.00 ,$0.00 ,$0.00 ,0.00%,S/O
Software Acquisition Group Inc. III,SWAGU,Blank Check,7/29/21,20,$10.00 ,$0.00 ,$0.00 ,0.00%,S/O
Traeger Inc. (TGPX Holdings I LLC),COOK,Industrials,7/29/21,23.5,$18.00 ,$0.00 ,$0.00 ,0.00%,S/O
DA32 Life Science Tech Acquisition,DALS,Blank Check,7/28/21,20,$10.00 ,$9.84 ,$9.84 ,-1.60%,S/O
"Duolingo, Inc.",DUOL,Technology,7/28/21,5.1,$102.00 ,$139.01 ,$139.01 ,36.28%,S/O
"MeridianLink, Inc.",MLNK,Technology,7/28/21,13.2,$26.00 ,$24.60 ,$24.60 ,-5.38%,S/O
"PowerSchool Holdings, Inc.",PWSC,Technology,7/28/21,39.5,$18.00 ,$18.00 ,$18.00 ,0.00%,S/O
Snap One Holdings Corp.,SNPO,Industrials,7/28/21,13.9,$18.00 ,$16.55 ,$16.55 ,-8.06%,S/O
Candel Therapeutics,CADL,Health Care,7/27/21,9,$8.00 ,$7.00 ,$6.89 ,-13.88%,S/O
Caribou Biosciences,CRBU,Health Care,7/23/21,19,$16.00 ,$16.32 ,$15.75 ,-1.56%,S/O
"Core & Main, Inc.",CNM,Industrials,7/23/21,34.9,$20.00 ,$23.70 ,$25.16 ,25.80%,S/O
Cytek BioSciences,CTKB,Health Care,7/23/21,16.8,$17.00 ,$18.76 ,$19.85 ,16.76%,S/O
Gambling.com Group Limited,GAMB,Consumer Services,7/23/21,5.3,$8.00 ,$8.00 ,$7.07 ,-11.63%,S/O
Outbrain Inc.,OB,Technology,7/23/21,8,$20.00 ,$20.00 ,$20.00 ,0.00%,S/O
SOPHiA GENETICS SA,SOPH,Financials,7/23/21,13,$18.00 ,$16.76 ,$15.94 ,-11.44%,S/O
U.S. Century Bank,USCB,Financials,7/23/21,4,$10.00 ,$10.82 ,$10.57 ,5.70%,S/O
"Xponential Fitness, Inc.",XPOF,Consumer Services,7/23/21,10,$12.00 ,$12.25 ,$11.95 ,-0.42%,S/O
AbSci Corp.,ABSI,Health Care,7/22/21,12.5,$16.00 ,$21.59 ,$24.50 ,53.13%,S/O
"Couchbase, Inc.",BASE,Technology,7/22/21,8.3,$24.00 ,$30.40 ,$30.29 ,26.21%,S/O
"Instructure Holdings, Inc.",INST,Technology,7/22/21,12.5,$20.00 ,$20.98 ,$18.97 ,-5.15%,S/O
"Ryan Specialty Group Holdings, Inc.",RYAN,Financials,7/22/21,56.9,$23.50 ,$27.50 ,$29.65 ,26.17%,S/O
Zenvia Inc.,ZENV,Technology,7/22/21,11.5,$13.00 ,$10.20 ,$10.47 ,-19.46%,S/O
Zevia PBC,ZVIA,Consumer Goods,7/22/21,10.7,$14.00 ,$13.65 ,$13.01 ,-7.07%,S/O
CS Disco,LAW,Technology,7/21/21,7,$32.00 ,$41.00 ,$40.50 ,26.56%,S/O
"Kaltura, Inc.",KLTR,Technology,7/21/21,15,$10.00 ,$12.00 ,$11.29 ,12.90%,S/O
"Paycor HCM, Inc.",PYCR,Technology,7/21/21,18.5,$23.00 ,$26.05 ,$27.30 ,18.70%,S/O
Twin Vee PowerCats,VEEE,Consumer Goods,7/21/21,3,$6.00 ,$7.49 ,$4.76 ,-20.67%,S/O
VTEX,VTEX,Technology,7/21/21,19,$19.00 ,$0.00 ,$24.48 ,28.84%,S/O
HCW Biologics Inc.,HCWB,Health Care,7/20/21,7,$8.00 ,$6.30 ,$5.23 ,-34.63%,S/O
"Blend Labs, Inc.",BLND,Technology,7/16/21,20,$18.00 ,$20.90 ,$17.80 ,-1.11%,S/O
Bridge Investment Group Holdings Inc.,BRDG,Financials,7/16/21,18.8,$16.00 ,$15.65 ,$15.60 ,-2.50%,S/O
"Erasca, Inc.",ERAS,Health Care,7/16/21,18.8,$16.00 ,$17.43 ,$20.00 ,25.00%,S/O
"Imago BioSciences, Inc.",IMGO,Health Care,7/16/21,8.4,$16.00 ,$16.29 ,$16.20 ,1.25%,S/O
Regencell Bioscience Holdings Ltd.,RGC,Health Care,7/16/21,2.3,$9.50 ,$10.50 ,$9.11 ,-4.11%,S/O
Stevanato Group S.p.A.,STVN,Health Care,7/16/21,32,$21.00 ,$19.67 ,$19.70 ,-6.19%,S/O
TScan Therapeutics,TCRX,Health Care,7/16/21,6.7,$15.00 ,$10.50 ,$9.66 ,-35.60%,S/O
F45 Training Holdings Inc.,FXLV,Consumer Services,7/15/21,20.3,$16.00 ,$16.20 ,$15.05 ,-5.94%,S/O
Membership Collective Group Inc.,MCG,Other,7/15/21,30,$14.00 ,$12.66 ,$12.05 ,-13.93%,S/O
"Phillips Edison & Company, Inc.",PECO,Financials,7/15/21,17,$28.00 ,$27.83 ,$27.72 ,-1.00%,S/O
"Rapid Micro Biosystems, Inc.",RPID,Health Care,7/15/21,7.9,$20.00 ,$21.40 ,$22.27 ,11.35%,S/O
"SERA PROGNOSTICS, INC.",SERA,Health Care,7/15/21,4.7,$16.00 ,$11.90 ,$10.12 ,-36.75%,S/O
"Sight Sciences, Inc.",SGHT,Health Care,7/15/21,10,$24.00 ,$33.50 ,$36.25 ,51.04%,S/O
ARYA Sciences Acquisition Corp V,ARYE,Blank Check,7/13/21,13,$10.00 ,$10.05 ,$10.00 ,0.00%,S/O
Sentage Holdings Inc.,SNTG,Financials,7/09/21,4,$5.00 ,$34.89 ,$4.59 ,-8.20%,S/O
"Transcode Therapeutics, Inc.",RNAZ,Health Care,7/09/21,6.3,$4.00 ,$5.29 ,$2.98 ,-25.50%,S/O
AltC Acquisition Corp. (formerly Churchill Capital Corp. VIII),ALCC,Blank Check,7/08/21,45,$10.00 ,$9.98 ,$9.85 ,-1.50%,S/O
Moving iMage Technologies,MITQ,Consumer Goods,7/08/21,4.2,$3.00 ,$24.00 ,$4.07 ,35.67%,S/O
NYXOAH SA,NYXH,Health Care,7/02/21,2.8,$30.00 ,$30.11 ,$33.00 ,10.00%,S/O
"Acumen Pharmaceuticals, Inc.",ABOS,Health Care,7/01/21,10,$16.00 ,$20.10 ,$14.90 ,-6.88%,S/O
D-MARKET Electronic Services & Trading (Hepsiburada),HEPS,Consumer Goods,7/01/21,56.7,$12.00 ,$13.43 ,$13.92 ,16.00%,S/O
Eco Wave Power Global AB,WAVE,Technology,7/01/21,1,$8.00 ,$10.85 ,$9.16 ,14.50%,S/O
EverCommerce Inc.,EVCM,Technology,7/01/21,19.1,$17.00 ,$17.60 ,$18.62 ,9.53%,S/O
