Strike,16-Apr-21,30-Apr-21,21-May-21,28-May-21,18-Jun-21,30-Jun-21,17-Sep-21,30-Sep-21,17-Dec-21,31-Dec-21,21-Jan-22,18-Mar-22,17-Jun-22,16-Dec-22,15-Dec-23,20-Dec-24,19-Dec-25,18-Dec-26,17-Dec-27,15-Dec-28,21-Dec-29,15-Dec-34
100,1.484522517,1.384530529,1.280828955,1.241187283,1.169609896,1.150272212,1.103831707,1.09118855,1.018637651,1.003643942,1.002400077,0.969647899,0.924852193,0.850642361,0.736424018,0.649635644,0.589753659,0.564590244,0.536387509,0.538212721,0.581852706,0.51827831
200,1.402107856,1.31365918,1.219311737,1.184754675,1.12500496,1.104529318,1.043332581,1.029939533,0.950997475,0.935507296,0.929184707,0.893591185,0.84452284,0.762723467,0.648371818,0.580376084,0.526405256,0.501250236,0.475308521,0.472658209,0.503322464,0.444072615
300,1.324724298,1.245332624,1.158877526,1.128365721,1.077591258,1.056303958,0.9846086,0.970973174,0.889305574,0.873894484,0.864642983,0.82827842,0.777880089,0.694952437,0.586443477,0.531829696,0.482897666,0.458851531,0.435660145,0.431043706,0.454087123,0.400932394
400,1.252387563,1.180394389,1.100766763,1.073544128,1.029621518,1.007852585,0.929023453,0.915475858,0.833453379,0.818454181,0.807538914,0.771550214,0.721495293,0.64053225,0.539790088,0.494874547,0.450228415,0.427534656,0.406883656,0.401188921,0.41895524,0.373281405
500,1.184841857,1.119052021,1.045433088,1.020926996,0.982256873,0.960310736,0.877007055,0.863767178,0.782981318,0.76859378,0.756812864,0.721875645,0.67316946,0.595751524,0.503237605,0.465422128,0.424450571,0.403108648,0.384689963,0.378319252,0.392389458,0.354094021
600,1.121760267,1.06127799,0.993019505,0.970787643,0.936164315,0.91430895,0.828624611,0.815837407,0.737361688,0.723703768,0.711574561,0.678089142,0.631339241,0.558258068,0.473824124,0.441221368,0.403429896,0.383360356,0.366883779,0.360482704,0.372360143,0.339882732
700,1.062805073,1.006941814,0.94352008,0.923216602,0.891735128,0.870198955,0.783773703,0.77153149,0.696080387,0.68321721,0.671077755,0.639273431,0.594836781,0.526443197,0.449681065,0.420888131,0.38587364,0.36697428,0.35242009,0.346388145,0.356721863,0.328895797
800,1.007650288,0.955866876,0.896852,0.878204103,0.849190758,0.828163405,0.742272353,0.730629958,0.658663857,0.646625631,0.634695508,0.604691833,0.562762711,0.499152729,0.429553545,0.403508508,0.370938964,0.353219944,0.340517838,0.334909165,0.344135422,0.320140248
900,0.955990431,0.907858262,0.852892491,0.835683465,0.808642531,0.788277553,0.703903513,0.692888947,0.624686538,0.61348019,0.601899108,0.573744052,0.534409405,0.475530129,0.412560481,0.388447741,0.358051066,0.341609371,0.330502267,0.325346711,0.333773168,0.313004291
1000,0.907543468,0.862717368,0.811499306,0.795555933,0.770128537,0.750547051,0.668438957,0.658061106,0.59377061,0.583387582,0.572240741,0.545935336,0.509210886,0.454923293,0.398062014,0.375247762,0.346810641,0.331639272,0.321926626,0.317239751,0.325091389,0.307087176
